checked_at,AA1476,AA1872,AA2966,AA3105,AS265,AS328,AS410,AS429,AS583,AS587,DL2041,DL2055,DL637,UA2099,UA2618,UA2835,UA341
2026-08-19 15:52:36,199.00,159.00,159.00,159.00,209.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 16:02:40,199.00,159.00,159.00,159.00,209.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 16:12:31,199.00,159.00,159.00,159.00,209.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 16:22:34,199.00,159.00,159.00,159.00,209.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 16:32:38,199.00,159.00,159.00,159.00,209.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 16:42:39,199.00,159.00,159.00,159.00,209.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 16:52:38,199.00,159.00,159.00,159.00,209.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 17:02:40,199.00,159.00,159.00,159.00,169.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 17:12:27,199.00,159.00,159.00,159.00,169.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 17:22:32,199.00,159.00,159.00,159.00,169.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 17:32:35,199.00,159.00,159.00,159.00,169.00,139.00,139.00,139.00,139.00,139.00,169.00,169.00,169.00,159.00,159.00,159.00,159.00
2026-08-19 17:42:37,199.00,159.00,159.00,159.00,169.00,139.00,139.00,139.00,139.00,139.00,159.00,159.00,159.00,159.00,159.00,159.00,139.00
2026-08-19 17:52:27,199.00,159.00,159.00,159.00,169.00,139.00,139.00,139.00,139.00,139.00,159.00,159.00,159.00,159.00,159.00,159.00,139.00
2026-08-19 18:02:32,199.00,159.00,159.00,159.00,169.00,139.00,139.00,139.00,139.00,139.00,159.00,159.00,159.00,159.00,159.00,159.00,139.00
2026-08-19 18:12:31,199.00,159.00,159.00,159.00,169.00,139.00,139.00,139.00,139.00,139.00,159.00,159.00,159.00,159.00,159.00,159.00,139.00
2026-08-19 18:22:36,199.00,159.00,159.00,159.00,169.00,139.00,139.00,139.00,139.00,139.00,159.00,159.00,159.00,159.00,159.00,159.00,139.00
2026-08-19 18:32:41,199.00,159.00,159.00,159.00,169.00,139.00,139.00,139.00,139.00,139.00,159.00,159.00,159.00,159.00,159.00,159.00,139.00
2026-08-19 18:42:31,199.00,159.00,159.00,159.00,169.00,139.00,139.00,139.00,139.00,139.00,159.00,159.00,159.00,159.00,159.00,159.00,139.00
2026-08-19 18:52:28,199.00,159.00,159.00,159.00,169.00,139.00,139.00,139.00,139.00,139.00,159.00,159.00,159.00,159.00,159.00,159.00,139.00
2026-08-19 19:02:34,199.00,159.00,159.00,159.00,169.00,139.00,139.00,139.00,139.00,139.00,159.00,159.00,159.00,159.00,159.00,159.00,139.00
2026-08-19 19:12:30,199.00,159.00,159.00,159.00,169.00,139.00,139.00,139.00,139.00,139.00,159.00,159.00,159.00,159.00,159.00,159.00,139.00
2026-08-19 19:22:33,199.00,159.00,159.00,159.00,169.00,139.00,139.00,139.00,139.00,139.00,159.00,159.00,159.00,159.00,159.00,159.00,139.00
